id;year;winner;second;third;winner_origin;winning_team;age;winner_chrono;winner_timedelta;winner_seconds;second_seconds;third_seconds;average_speed;num_runners;total_length;num_stages;debut_date;end_date;first_mountain;second_mountain;third_mountain;first_mountain_points;second_mountain_points;third_mountain_points;first_sprint;second_sprint;third_sprint;first_sprint_points;second_sprint_points;third_sprint_points
28;1935;Romain Maes;Ambrogio Morelli;Félicien Vervaecke;Belgium;Belgium;22;141hr 32min 0sec;5 days 21:32:00.000000000;509520.0;1072;1446;30,65;93;4338;21;04/07/1935;28/07/1935;Félicien Vervaecke;Sylvère Maes;Jules Lowie;118;92;62;;;;;;
29;1936;Sylvère Maes;Antonin Magne;Félicien Vervaecke;Belgium;Belgium;27;142hr 47min 32sec;5 days 22:47:32.000000000;514052.0;1615;1673;31,045;90;4438;21;07/07/1936;02/08/1936;Julian Berrendero;Sylvère Maes;Federico Ezquerra;132;112;70;;;;;;
30;1937;Roger Lapébie;Mario Vicini;Léo Amberg;France;France;26;138hr 58min 31sec;5 days 18:58:31.000000000;500311.0;437;1573;31,768;98;4415;20;30/06/1937;25/07/1937;Félicien Vervaecke;Mario Vicini;Sylvère Maes;114;96;90;;;;;;
31;1938;Gino Bartali;Félicien Vervaecke;Victor Cosson;Italy;Italy;24;148hr 29min 12sec;6 days 04:29:12.000000000;534552.0;1107;1766;31,986;96;4680;21;05/07/1938;31/07/1938;Gino Bartali;Félicien Vervaecke;Edward Vissers;107;79;76;;;;;;
32;1939;Sylvère Maes;René Vietto;Lucien Vlaemynck;Belgium;Belgium;30;132hr 3min 17sec;5 days 12:03:17.000000000;475397.0;1838;1928;31,986;79;4224;18;10/07/1939;30/07/1939;Sylvère Maes;Edward Vissers;Albert Ritserveldt;86;84;71;;;;;;
33;1947;Jean Robic;Édouard Fachleitner;Pierre Brambilla;France;Ouest;26;148hr 11min 25sec;6 days 04:11:25.000000000;533485.0;238;607;31,412;100;4642;21;25/06/1947;20/07/1947;Pierre Brambilla;Apo Lazaridès;Jean Robic;98;89;70;;;;;;
34;1948;Gino Bartali;Briek Schotte;Guy Lapébie;Italy;Italy;34;147hr 10min 36sec;6 days 03:10:36.000000000;529836.0;1576;1728;33,442;120;4922;21;30/06/1948;25/07/1948;Gino Bartali;Apo Lazaridès;Jean Robic;62;43;38;;;;;;
35;1949;Fausto Coppi;Gino Bartali;Jacques Marinelli;Italy;Italy;29;149hr 40min 49sec;6 days 05:40:49.000000000;538849.0;655;1513;32,121;120;4808;21;30/06/1949;24/07/1949;Fausto Coppi;Gino Bartali;Jean Robic;81;68;62;;;;;;
36;1950;Ferdy Kübler;Stan Ockers;Louison Bobet;Switzerland;Switzerland;31;145hr 36min 56sec;6 days 01:36:56.000000000;524216.0;570;1339;32,778;116;4773;22;13/07/1950;07/08/1950;Louison Bobet;Stan Ockers;Jean Robic;58;44;41;;;;;;
37;1951;Hugo Koblet;Raphaël Géminiani;Lucien Lazaridès;Switzerland;Switzerland;26;142hr 20min 14sec;5 days 22:20:14.000000000;512414.0;1320;1456;32,949;123;4690;24;04/07/1951;29/07/1951;Raphaël Géminiani;Gino Bartali;Fausto Coppi;60;59;41;;;;;;
38;1952;Fausto Coppi;Stan Ockers;Bernardo Ruiz;Italy;Italy;32;151hr 57min 20sec;6 days 07:57:20.000000000;547040.0;1697;2078;32,233;123;4898;23;25/06/1952;19/07/1952;Fausto Coppi;Antonio Gelabert;Jean Robic;92;69;60;;;;;;
39;1953;Louison Bobet;Jean Malléjac;Giancarlo Astrua;France;France;28;129hr 23min 25sec;5 days 09:23:25.000000000;465805.0;858;902;34,593;119;4476;22;03/07/1953;26/07/1953;Jesús Loroño;Louison Bobet;Joseph Mirando;54;36;30;Fritz Schär;Fliorenzo Magni;Raphaël Géminiani;271;307;407
40;1954;Louison Bobet;Ferdy Kübler;Fritz Schaer;France;France;29;140hr 6min 5sec;5 days 20:06:05.000000000;504365.0;949;1306;33,229;110;4656;23;08/07/1954;01/08/1954;Federico Bahamontes;Louison Bobet;Richard Van Genechten;95;53;38;Ferdi Kübler;Stan Ockers;Fritz Schär;215,5;284,5;286,5
41;1955;Louison Bobet;Jean Brankart;Charly Gaul;France;France;30;130hr 29min 26sec;5 days 10:29:26.000000000;469766.0;293;690;34,446;130;4495;22;07/07/1955;30/07/1955;Charly Gaul;Louison Bobet;Jean Brankart;84;70;44;Stan Ockers;Wout Wagtmans;Miguel Poblet;322;399;409
42;1956;Roger Walkowiak;Gilbert Bauvin;Jan Andriaenssens;France;Nord-Est-Centre;29;124hr 1min 16sec;5 days 04:01:16.000000000;446476.0;85;224;36,268;120;4498;22;05/07/1956;28/07/1956;Charly Gaul;Federico Bahamontes;Valentin Huot;71;67;65;Stan Ockers;Fernand Picot;Gerrit Voorting;280;464;465
43;1957;Jacques Anquetil;Marcel Janssens;Adolf Christian;France;France;23;135hr 44min 42sec;5 days 15:44:42.000000000;488682.0;896;1040;34,52;120;4669;22;27/06/1957;20/07/1957;Gastone Nencini;Louis Bergaud;Marcel Janssens;44;43;32;Jean Forestier;Win Van Est;Adolf Christian;301;317;366
44;1958;Charly Gaul;Vito Favero;Raphaël Géminiani;Luxembourg;Holland-Luxembourg;26;116hr 59min 5sec;4 days 20:59:05.000000000;421145.0;190;1306;36,919;120;4319;24;26/06/1958;19/07/1958;Federico Bahamontes;Charly Gaul;Jean Dotto;79;64;34;Jean Graczyk;Jef Planckaert;André Darrigade;247;406;553
45;1959;Federico Bahamontes;Henry Anglade;Jacques Anquetil;Spain;Spain;31;123hr 46min 45sec;5 days 03:46:45.000000000;445605.0;241;305;35,474;120;4358;22;25/06/1959;18/07/1959;Federico Bahamontes;Charly Gaul;Gérard Saint;73;68;65;André Darrigade;Gérard Saint;Jacques Anquetil;613;524;503
46;1960;Gastone Nencini;Graziano Battistini;Jan Andriaenssens;Italy;Italy;30;112hr 8min 42sec;4 days 16:08:42.000000000;403722.0;302;624;37,21;128;4173;21;26/06/1960;17/07/1960;Imerio Massignan;Marcel Rohrbach;Graziano Battistini;56;52;44;Jean Graczyk;Graziano Battistini;Gastone Nencini;74;40;36
47;1961;Jacques Anquetil;Guido Carlesi;Charly Gaul;France;France;27;122hr 1min 33sec;5 days 02:01:33.000000000;439293.0;734;736;36,033;132;4397;21;25/06/1961;16/07/1961;Imerio Massignan;Charly Gaul;Hans Junkermann;95;61;48;André Darrigade;Jean Gainche;Guido Carlesi;174;169;148
48;1962;Jacques Anquetil;Josef Planckaert;Raymond Poulidor;France;St-Raphaël;28;114hr 31min 54sec;4 days 18:31:54.000000000;412314.0;299;624;37,317;150;4274;22;24/06/1962;15/07/1962;Federico Bahamontes;Imerio Massignan;Raymond Poulidor;137;77;70;Rudi Altig;Emile Daems;Jean Graczyk;173;144;140
49;1963;Jacques Anquetil;Federico Bahamontes;José Perez-Francés;France;St-Raphaël;29;113hr 30min 5sec;4 days 17:30:05.000000000;408605.0;215;614;37,092;130;4137;21;23/06/1963;14/07/1963;Federico Bahamontes;Raymond Poulidor;Guy Ignolin;147;70;68;Rik Van Looy;Jacques Anquetil;Federico Bahamontes;275;138;112
50;1964;Jacques Anquetil;Raymond Poulidor;Federico Bahamontes;France;St-RaphaÃ«l;30;127hr 9min 44sec;5 days 07:09:44.000000000;457784.0;55;284;35,42;132;4504;22;22/06/1964;14/07/1964;Federico Bahamontes;Julio Jiménez;Raymond Poulidor;173;167;90;Jan Janssen;Edward Sels;Rudi Altig;208;199;165
51;1965;Felice Gimondi;Raymond Poulidor;Gianni Motta;Italy;Salvarini;23;116hr 42min 6sec;4 days 20:42:06.000000000;420126.0;160;284;35,886;130;4177;22;22/06/1965;14/07/1965;Julio Jiménez;Frans Brands;Joaquim Galera;133;74;68;Jan Janssen;Guido Reybrouck;Felice Gimondi;144;130;124
52;1966;Lucien Aimar;Jan Janssen;Raymond Poulidor;France;Ford;25;117hr 34min 21sec;4 days 21:34:21.000000000;423261.0;67;122;36,819;130;4329;22;21/06/1966;14/07/1966;Julio Jiménez;Joaquim Galera;Aurelio Gonzalez;123;98;51;Willy Planckaert;Gerben Karstens;Edward Sels;211;189;178
53;1967;Roger Pingeon;Julio Jiménez;Franco Balmamion;France;France;27;136hr 53min 50sec;5 days 16:53:50.000000000;492830.0;220;443;34,756;130;4779;22;27/06/1967;23/07/1967;Julio Jiménez;Franco Balmamion;Raymond Poulidor;122;68;53;Jan Janssen;Guido Reybrouck;Georges Vandenberghe;154;119;111
