;year;winner;second;third;winner_origin;winning_team;age;winner_chrono;winner_timedelta
88;2002;Lance Armstrong;Joseba Beloki;Raimondas Rumsas;USA;US Postal;30;82hr 5min 12sec;3 days 10:05:12.000000000
89;2003;Lance Armstrong;Jan Ullrich;Alexandre Vinokourov;USA;US Postal;31;83hr 41min 12sec;3 days 11:41:12.000000000
90;2004;Lance Armstrong;Andreas Klöden;Ivan Basso;USA;US Postal;32;83hr 36min 2sec;3 days 11:36:02.000000000
91;2005;Lance Armstrong;Ivan Basso;Jan Ullrich;USA;Discovery;33;86hr 15min 2sec  ;3 days 14:15:02.000000000
92;2006;Floyd Landis;Andreas Klöden;Carlos Sastre;Spain;Caisse d'Epargne;30;89hr 39min 30sec;3 days 17:39:30.000000000
93;2007;Alberto Contador;Cadel Evans;Levi Leipheimer;Spain;Discovery;24;91hr 00min 26sec;3 days 19:00:26.000000000
94;2008;Carlos Sastre;Cadel Evans;Bernhard Kohl;Spain;CSC-Saxo Bank;33;87hr 52min 52sec;3 days 15:52:52.000000000
95;2009;Alberto Contador;Andy Schleck;Lance Armstrong;Spain;Astana;26;85hr 48min 35sec;3 days 13:48:35.000000000
96;2010;Alberto Contador;Denis Menchov;Samuel Sánchez;Luxembourg;Saxo Bank;91;91hr 58min 48sec;3 days 19:58:48.000000000
97;2011;Cadel Evans;Andy Schleck;Frank Schleck;Australia;BMC;34;      86hr 12min 22sec;3 days 14:12:22.000000000
98;2012;Bradley Wiggins;Christopher Froome;Vincenzo Nibali;Great Britain;Sky;32;      87hr 34min 47sec;3 days 15:34:47.000000000
99;2013;Christopher Froome;Nairo Quintana;Joaquin Rodriguez;Great Britain;Sky;28;      83hr 56min 40sec;3 days 11:56:40.000000000
100;2014;Vincenzo Nibali;Jean-Christophe Peraud;Thibaut Pinot;Great Britain;Sky;29;      89hr 59min 6sec;3 days 17:59:06.000000000
101;2015;Christopher Froome;Nairo Quintana;Alejandro Valverde;Great Britain;Sky;30;      84hr 46min 14sec;3 days 12:46:14.000000000
102;2016;Christopher Froome;Romain Bardet;Nairo Quintana;Great Britain;Sky;31;      89hr 4min 48sec;3 days 17:04:48.000000000
103;2017;Christopher Froome;Rigoberto Uran;Romain Bardet;Great Britain;Sky;32;      86hr 20min 55sec;3 days 14:20:55.000000000
104;2018;Geraint Thomas;Tom Dumoulin;Chris Froome;Great Britain;Sky;32;      83hr 17min 13sec;3 days 11:17:13.000000000
105;2019;Egan Bernal;Geraint Thomas;Steven Kruijswijk;Columbia;INEOS;22;      82hr 57min 0sec;3 days 10:57:00.000000000
106;2020;Tadej Pogacar;Primoz Roglic;Richie Porte;Slovenia;UAE-Team Emirates;20;      87hr 20min 5sec;3 days 15:20:05.000000000
